dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
Chennu,gamma,27,recovery,0.29288423676630687,18.43552917248054,0.017798122216391463,0.735632183908046,0.43103448275862066,20.0,90.0,58.0
Chennu,gamma,28,baseline,0.2767961242849283,14.81525849948599,0.017438307033163503,0.8275862068965517,0.6206896551724138,20.0,90.0,58.0
Chennu,gamma,28,mild,0.2918465814902528,13.757471747554137,0.01938129770881505,0.8620689655172412,0.6206896551724138,20.0,90.0,58.0
Chennu,gamma,28,moderate,0.3204974059930529,14.408301362384286,0.02025078761788362,0.8678160919540229,0.6206896551724138,20.0,90.0,58.0
Chennu,gamma,28,recovery,0.2677816072046755,12.158532009706898,0.0172762516610214,0.82183908045977,0.5,20.0,90.0,58.0
Chennu,gamma,29,baseline,0.3235378418865872,16.53250169336247,0.020261856358631532,0.8275862068965517,0.5689655172413793,20.0,90.0,58.0
Chennu,gamma,29,mild,0.3263738335473027,16.414511157719367,0.021758909195450312,0.7011494252873562,0.27586206896551724,20.0,90.0,58.0
Chennu,gamma,29,moderate,0.3881396684659952,10.9864831247862,0.02035689547258331,0.5919540229885057,0.017241379310344827,20.0,90.0,58.0
Chennu,gamma,29,recovery,0.38764115346082995,10.64807169764116,0.02147495379752077,0.6264367816091954,0.10344827586206896,20.0,90.0,58.0
Chennu,gamma,3,baseline,0.2774513315846883,15.286969899070051,0.017288844622729456,0.8275862068965516,0.5862068965517241,20.0,90.0,58.0
Chennu,gamma,3,mild,0.3131669329411437,13.477984384793988,0.017057022566101435,0.7241379310344827,0.27586206896551724,20.0,90.0,58.0
Chennu,gamma,3,moderate,0.3519257429305301,13.536194115589169,0.022083455964945143,0.5689655172413792,0.05172413793103448,20.0,90.0,58.0
Chennu,gamma,3,recovery,0.3152310005827078,13.028583779733003,0.01765870400053893,0.6149425287356322,0.1206896551724138,20.0,90.0,58.0
Chennu,gamma,5,baseline,0.2545922247641802,18.375560289927627,0.014664776698714932,0.8275862068965517,0.6206896551724138,20.0,90.0,58.0
Chennu,gamma,5,mild,0.2972228627828686,16.67135642126178,0.017415171575538745,0.6666666666666667,0.22413793103448276,20.0,90.0,58.0
Chennu,gamma,5,moderate,0.2993605763626142,16.93445030255231,0.0183098963987051,0.660919540229885,0.3448275862068966,20.0,90.0,58.0
Chennu,gamma,5,recovery,0.2686861542608813,17.835752110948803,0.017134931619377333,0.7988505747126438,0.43103448275862066,20.0,90.0,58.0
Chennu,gamma,6,baseline,0.3050890744099999,17.680834443773964,0.0201354148460403,0.8275862068965517,0.5689655172413793,20.0,90.0,58.0
Chennu,gamma,6,mild,0.28716901490553726,13.500326379434133,0.017349336420581146,0.3908045977011495,0.0,20.0,90.0,58.0
Chennu,gamma,6,moderate,0.3509410742585874,12.745715099025304,0.022347189954063366,0.586206896551724,0.06896551724137931,20.0,90.0,58.0
Chennu,gamma,6,recovery,0.3000702151370044,15.415539689742003,0.01923576399587731,0.6839080459770115,0.29310344827586204,20.0,90.0,58.0
Chennu,gamma,7,baseline,0.3200883042881966,14.966322888370506,0.019949639854920164,0.8275862068965517,0.5517241379310345,20.0,90.0,58.0
Chennu,gamma,7,mild,0.32518056287060343,15.34275283680543,0.02173120507814271,0.7586206896551725,0.39655172413793105,20.0,90.0,58.0
